name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace,cyclomatic
"CustomNetworkImageView.<init>(Context)","material.com.materialdemo.CustomNetworkImageView.<init>(android.content.Context)",1,0,  ,22,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CustomNetworkImageView.java,30,51,N,"void CustomNetworkImageView.<init>(Context)(class material.com.materialdemo.CustomNetworkImageView *this, class android.content.Context *context)",5,0.80,0.60,0,3,30 31 32,1
"CustomNetworkImageView.<init>(Context,AttributeSet)","material.com.materialdemo.CustomNetworkImageView.<init>(android.content.Context,android.util.Attribu7A7D",1,0,  ,26,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CustomNetworkImageView.java,34,51,N,"void CustomNetworkImageView.<init>(Context,AttributeSet)(class material.com.materialdemo.CustomNetworkImageView *this, class android.content.Context *context, class android.util.AttributeSet *attrs)",5,0.80,0.60,1,2,34 35 36,1
"CustomNetworkImageView.<init>(Context,AttributeSet,int)","material.com.materialdemo.CustomNetworkImageView.<init>(android.content.Context,android.util.AttribuDF9F",1,0,  ,28,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CustomNetworkImageView.java,38,51,N,"void CustomNetworkImageView.<init>(Context,AttributeSet,int)(class material.com.materialdemo.CustomNetworkImageView *this, class android.content.Context *context, class android.util.AttributeSet *attrs, int defStyle)",5,0.80,0.60,2,1,38 39 40,1
"void CustomNetworkImageView.onLayout(boolean,int,int,int,int)","material.com.materialdemo.CustomNetworkImageView.onLayout(boolean,int,int,int,int):void",2,0,  ,102,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CustomNetworkImageView.java,45,51,N,"void void CustomNetworkImageView.onLayout(boolean,int,int,int,int)(class material.com.materialdemo.CustomNetworkImageView *this, _Bool changed, int left, int top, int right, int bottom)",8,0.88,0.48,0,2,45 46 47 49,2
"void CustomNetworkImageView.setImageUrl(String,ImageLoader)","material.com.materialdemo.CustomNetworkImageView.setImageUrl(java.lang.String,com.android.volley.too05A9",1,0,  ,30,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CustomNetworkImageView.java,25,51,N,"void void CustomNetworkImageView.setImageUrl(String,ImageLoader)(class material.com.materialdemo.CustomNetworkImageView *this, class java.lang.String *url, class com.android.volley.toolbox.ImageLoader *imageLoader)",6,0.83,0.30,0,1,25 26 27 28,1
"void CustomNetworkImageView.setLocalImageBitmap(Bitmap)","material.com.materialdemo.CustomNetworkImageView.setLocalImageBitmap(android.graphics.Bitmap):void",2,0,  ,85,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/CustomNetworkImageView.java,16,51,N,"void void CustomNetworkImageView.setLocalImageBitmap(Bitmap)(class material.com.materialdemo.CustomNetworkImageView *this, class android.graphics.Bitmap *bitmap)",9,0.89,0.30,0,1,16 17 18 20 21 22,2
"void JSONParsingHelper$IJSONParsingListener.onParseFailure(Error)","material.com.materialdemo.JSONParsingHelper$IJSONParsingListener.onParseFailure(java.lang.Error):voiBA02",1,0,  ,6,0,,-1,-1,N,"void void JSONParsingHelper$IJSONParsingListener.onParseFailure(Error)(class material.com.materialdemo.JSONParsingHelper$IJSONParsingListener *this, class java.lang.Error *onParseFailure_arg_0)",2,1.00,0.48,2,0,-1,1
"void JSONParsingHelper$IJSONParsingListener.onParseSuccess(IValueObject)","material.com.materialdemo.JSONParsingHelper$IJSONParsingListener.onParseSuccess(material.com.materia813B",1,0,  ,6,0,,-1,-1,N,"void void JSONParsingHelper$IJSONParsingListener.onParseSuccess(IValueObject)(class material.com.materialdemo.JSONParsingHelper$IJSONParsingListener *this, class material.com.materialdemo.IValueObject *onParseSuccess_arg_0)",2,1.00,0.48,2,0,-1,1
"JSONParsingHelper.<init>(Class,JSONParsingHelper$IJSONParsingListener)","material.com.materialdemo.JSONParsingHelper.<init>(java.lang.Class,material.com.materialdemo.JSONParEBBE",1,0,  ,36,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/JSONParsingHelper.java,52,126,N,"void JSONParsingHelper.<init>(Class,JSONParsingHelper$IJSONParsingListener)(class material.com.materialdemo.JSONParsingHelper *this, class java.lang.Class *responseClass, class material.com.materialdemo.JSONParsingHelper$IJSONParsingListener *parsingListener)",7,0.86,0.30,0,1,52 54 56 58 60,1
"Object JSONParsingHelper.doInBackground(java.lang.Object[])","material.com.materialdemo.JSONParsingHelper.doInBackground(java.lang.Object[]):java.lang.Object",0,0,  ,27,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/src/main/java/material/com/materialdemo/JSONParsingHelper.java,14,126,N,"class java.lang.Object *Object JSONParsingHelper.doInBackground(java.lang.Object[])(class material.com.materialdemo.JSONParsingHelper *this, class java.lang.Object *(*$bcvar1)[_t$0])",5,0.00,0.78,0,5,,1
